x	y	PANEL
0.065704	-0.258425152581204	1
1.625422	-0.101598140007807	1
1.880727	-0.289827251720338	1
1.916683	-0.077041035763828	1
1.958059	0.0257375614136083	1
2.036006	-0.432454552356253	1
2.157122	-0.394031641158542	1
2.168387	-0.369594528517677	1
2.350357	-0.256700472111743	1
2.447437	-0.248107861595691	1
2.517447	-0.148800661406706	1
3.073191	-0.349235440883098	1
5.641672	-0.457989644463391	1
6.112207	-0.347398782403481	1
7.003547	-0.260151897300673	1
8.321174	-0.325539348439741	1
10.005609	-0.44418384493836	1
11.406486	-0.446148031818874	1
13.057286	-0.284545872884282	1
13.689004	-0.45205668870965	1
14.508795	-0.332789087519129	1
15.739583	-0.38458370273713	1
16.695541	-0.438307278601691	1
19.447351	-0.573466861883327	1
21.564614	-0.560642821525743	1
24.584649	-0.457989644463391	1
24.961531	-0.481968507397831	1
26.956737	-0.547931769776189	1
28.251612	-0.334607228958109	1
28.550402	-0.373327247394007	1
29.771938	-0.428565884123491	1
31.068114	-0.38458370273713	1
32.243891	-0.459972730742493	1
34.592644	-0.239566125329888	1
36.998489	-0.432454552356253	1
38.113835	-0.375197234747053	1
39.256517	-0.416962376203336	1
39.668374	-0.22431729826094	1
40.120875	-0.31114825613412	1
41.66223	0.200378797984026	1
43.278631	-0.475936324222789	1
43.882916	-0.454031630894707	1
44.82415	-0.234465253637023	1
47.569927	-0.45205668870965	1
48.093773	-0.426625473554056	1
48.69463	-0.364013496254377	1
49.632735	-0.258425152581204	1
52.823522	-0.415037499278844	1
54.228477	-0.45205668870965	1
54.228492	-0.42081985187285	1
54.797001	-0.494109070270043	1
55.094602	-0.321928094887362	1
55.127892	-0.504304837375931	1
55.381045	-0.428565884123491	1
55.54284	-0.44418384493836	1
57.971845	-0.706041020971305	1
60.701409	0.0510240030244669	1
60.701835	-0.556393348524385	1
63.778764	-0.340075441597622	1
65.591633	-0.569179503480228	1
66.880257	-0.483984852996335	1
69.011371	-0.63710935733414	1
70.109915	-1.17462139610707	1
70.343474	-0.275786313242642	1
73.022294	-0.275786313242642	1
74.592058	-0.524915117051217	1
74.697219	-0.401634794676355	1
74.748368	-0.717856771218502	1
74.864464	-0.579921884020626	1
76.317834	-0.352915787371046	1
77.977805	-0.354759487354735	1
80.724502	-0.477944250839036	1
82.703528	-0.288064643021079	1
86.212697	-0.496142467422571	1
88.407227	-0.552156355637915	1
88.690874	-0.181149439104566	1
88.884182	-0.302226180444814	1
88.88486	-0.436353730515936	1
88.969581	-0.329159664118438	1
90.116999	-0.768567591552035	1
90.52694	-0.465938397578882	1
90.555002	-0.473931188332412	1
92.252612	-0.274040765490812	1
93.258499	-0.50635266602479	1
94.386958	-0.524915117051217	1
94.443845	-0.345564459154601	1
96.028127	-0.318325858207167	1
96.686836	-0.397828209246621	1
99.459856	-0.265344566520995	1
102.848409	-0.494109070270043	1
103.387317	-0.42081985187285	1
106.209939	-0.461958546666336	1
107.517214	-0.307572801910292	1
109.065806	-0.473931188332412	1
110.645451	-0.293358942690592	1
111.429496	-0.318325858207167	1
111.5248	-0.475936324222789	1
112.990431	-0.375197234747053	1
114.318711	-0.550042516371997	1
116.101819	-0.85464861442738	1
116.876332	-0.31114825613412	1
118.853572	-0.251538766995965	1
119.814166	-0.321928094887362	1
120.850903	-0.623709616662948	1
121.496367	-0.494109070270043	1
122.59512	-0.316528107144772	1
122.625614	-0.582079992188035	1
122.632005	-0.569179503480228	1
123.496907	-0.312939311660108	1
123.735944	-0.320125852253377	1
123.767357	-0.0603972796439563	1
124.676854	-0.481968507397831	1
126.135267	-0.415037499278844	1
127.03174	-0.518701058452435	1
128.093319	-0.543719518489275	1
128.733494	-0.351074440546879	1
129.148546	-0.354759487354735	1
130.315557	-0.397828209246621	1
131.54972	-0.486004020632987	1
132.961115	-0.446148031818874	1
133.844476	-0.717856771218502	1
138.894256	-0.432454552356253	1
139.724783	-0.204233052217608	1
140.65814	-0.364013496254377	1
140.864689	-0.261880711217424	1
142.356094	-0.457989644463391	1
144.042117	-0.382701517159154	1
144.409756	-0.3040061868901	1
144.462202	-0.577766999316952	1
144.908923	-0.382701517159154	1
147.697471	-0.488026018218199	1
149.203521	-0.529072742524873	1
150.518202	-0.471928835421265	1
152.259004	-0.432454552356253	1
153.167782	-0.172993990361023	1
154.360035	-0.416962376203336	1
155.446227	-0.567040592723894	1
158.961081	-0.550042516371997	1
160.480851	-0.397828209246621	1
160.574981	-0.438307278601691	1
161.549129	-0.547931769776189	1
164.799517	-0.708396441969435	1
